code,Company
ZZZ.L,Snoozebox Holdings plc
ZYT.L,Zytronic plc
ZTF.L,Zotefoams plc
ZOX.L,Zincox Resources plc
ZOO.L,ZOO Digital Group plc
ZOL.L,Zoltav Resources Inc.
ZMNO.L,zamano plc
ZIOC.L,Zanaga Iron Ore Company Limited
ZHEH.L,"Zhejiang Expressway Co., Ltd."
ZENB.L,Zenith Bank Plc
ZEG.L,Zegona Communications plc
ZCC.L,ZCCM Investments Holdings Plc
ZBO.L,Zibao Metals Recycling Holdings Plc
ZAM.L,Zambeef Products Plc
YUJ.L,Yujin International Ltd.
YU.L,Yü Group PLC
YOU.L,YouGov plc
YOLO.L,Yolo Leisure and Technology plc
YNGN.L,"Young & Co.'s Brewery, P.L.C."
YNGA.L,"Young & Co.'s Brewery, P.L.C."
YMTD.L,Yang Ming Marine Transport Corporation
YMT1.L,Yang Ming Marine Transport Corporation
YKBD.L,YAPI VE KREDI BANKASI A.S. GDR
XTR.L,Xtract Resources Plc
XSG.L,Xeros Technology Group plc
XPP.L,XP Power Limited
XPL.L,XPLORER PLC ORD 0.1P
XLM.L,XLMedia PLC
XEL.L,Xcite Energy Limited
XCH.L,Xchanging plc
XAR.L,Xaar plc
WYN.L,Wynnstay Group plc
WWH.L,Worldwide Healthcare Ord
WTI.L,Weatherly International PLC
WTG.L,Watchstone Group Plc
WTB.L,Whitbread PLC
WTAN.L,Witan Investment Trust plc
WSL.L,Worldsec Limited
WSG.L,Westminster Group Plc
WSBN.L,Wishbone Gold Plc
WRN.L,WORTHINGTON GROUP PLC ORD 10P
WRL.L,Wentworth Resources Limited
WRES.L,W Resources Plc
WPP.L,WPP plc
WPG.L,Worldpay Group plc
WOS.L,Ferguson plc
WORK.L,Work Group plc
WMH.L,William Hill plc
WLG.L,Wireless Group PLC
WLFE.L,Wolf Minerals Limited
WKP.L,Workspace Group plc
WKOF.L,Weiss Korea Opportunity Fund Ltd.
WIZZ.L,Wizz Air Holdings Plc
WINK.L,M Winkworth PLC
WIN.L,Wincanton plc
WIL.L,Wilmington plc
WHI.L,WH Ireland Group plc
WHE.L,Salt Lake Potash Limited
WGP.L,WORLDLINK GROUP PLC ORD GBP0.01
WG.L,John Wood Group PLC
WEY.L,Wey Education Plc
WEIR.L,The Weir Group PLC
WEB.L,Webis Holdings Plc
WCW.L,Walker Crips Group plc
WATR.L,Water Intelligence plc
WAFM.L,West African Minerals Corporation
VZC.L,Verizon Communications Inc.
VTU.L,Vertu Motors plc
VTC.L,The Vitec Group plc
VTBR.L,VTB Bank (public joint-stock company)
VSVS.L,Vesuvius plc
VSN.L,Verseon Corporation
VRS.L,Versarien plc
VRP.L,Verona Pharma plc
VP.L,Vp plc
VOF.L,VinaCapital Vietnam Opportunity Fund Limited
VOD.L,Vodafone Group Plc
VNI.L,Vietnam Infrastructure Limited
VNET.L,Vianet Group plc
VM.L,Virgin Money Holdings (UK) plc
VLX.L,Volex plc
VLS.L,Velocys plc
VLK.L,Pebble Beach Systems Group plc
VLE.L,Volvere plc
VIS.L,Vitesse Media Plc
VIP.L,Vipera Plc
VIN.L,Value And Income Ord
VGAS.L,Volga Gas plc
VER.L,Vernalis plc
VENN.L,Venn Life Sciences Holdings plc
VELA.L,Vela Technologies PLC
VEC.L,Vectura Group plc
VCT.L,Victrex plc
VCP.L,Victoria plc
VAST.L,Vast Resources plc
VAL.L,ValiRx plc
UVEL.L,UniVision Engineering Limited
UU.L,United Utilities Group PLC
UTV.L,Wireless Group PLC
UTLE.L,UIL Finance Limited
UTLC.L,UIL FINANCE LIMITED RED ZDP SHS
UTL.L,UIL Limited
UTG.L,The Unite Group plc
USG.L,Ultimate Sports Group Plc
URU.L,URU Metals Limited
URA.L,Uranium Resources Plc
ULVR.L,Unilever PLC
ULS.L,ULS Technology plc
ULE.L,Ultra Electronics Holdings plc
UKRO.L,Ukraine Opportunity Ord
UKOG.L,UK Oil & Gas Investments PLC
UKML.L,UK Mortgages Ltd
UKM.L,UK Mail Group plc
UKCM.L,UK Commercial Property Trust Limited
UJO.L,Union Jack Oil plc
UEN.L,Urals Energy Public Company Limited
UEMS.L,UTILICO EMERGING MARKETS LIMITE
UEM.L,Utilico Emerging Markets Limited
UCP.L,UCP Plc
UCG.L,United Carpets Group PLC
UBM.L,UBM plc
UBLS.L,United Bank Limited
UAV.L,Unicorn AIM VCT plc
UANC.L,Urban&Civic plc
UAI.L,U and I Group PLC
TYT.L,Toyota Motor Corporation
TYRU.L,"TyraTech, Inc."
TYR.L,"TyraTech, Inc."
TYK4.L,TEST STOCKS ORD
TXH.L,Tex Holdings plc
TW.L,Taylor Wimpey plc
TUIN.L,TUIN.L
TUIJ.L,TUIJ.L
TUI.L,TUI AG
TTG.L,TT Electronics plc
TTA.L,TOTAL S.A.
TT.L,TT.L
TSCO.L,Tesco PLC
TSB.L,TSB Banking Group plc
TRY.L,TR Property Ord
TRX.L,Tissue Regenix Group plc
TRS.L,Tarsus Group plc
TRK.L,Torotrak plc
TRIN.L,Trinity Exploration & Production plc
TRIG.L,The Renewables Infrastructure Group Limited
TREE.L,Cambium Global Timberland Limited
TRE.L,Trading Emissions PLC
TRCN.L,Public Joint Stock Company TransContainer
TPV1.L,Triple Point Income VCT plc
TPS.L,Turbo Power Systems Inc.
TPOU.L,Third Point Offshore Investors Limited
TPK.L,Travis Perkins plc
TPFZ.L,Taliesin Property Fund Limited
TPF.L,Taliesin Property Fund Limited
TOWN.L,Town Centre Securities plc
TON.L,Titon Holdings plc
TOM.L,TomCo Energy Plc
TMZ.L,Toumaz Limited
TMPL.L,Temple Bar Investment Trust PLC
TME.L,Trader Media East Limited
TLY.L,Totally plc
TLW.L,Tullow Oil plc
TLPR.L,Tullett Prebon plc
TLA.L,TLA Worldwide Plc
TIR.L,Tiger Resource Finance Ord
TILS.L,Tiziana Life Sciences PLC
TIGT.L,Troy Income & Growth Trust Plc
TIG.L,Innovation Group plc
TIDE.L,Crimson Tide plc
TIBD.L,Türkiye Is Bankasi Anonim Sirketi
THT.L,Thorntons PLC
THRG.L,BlackRock Throgmorton Trust plc
THL.L,Tongaat Hulett Limited
TGBD.L,Turkiye Garanti Bankasi A.S.
TET.L,Treatt plc
TEP.L,Telecom Plus PLC
TEM.L,Templeton Emerging Mkts Invmt Tr TEMIT
TEF.L,Telford Homes Plc
TEEG.L,Telecom Egypt Company S.A.E.
TED.L,Ted Baker PLC
TECH.L,"TechFinancials, Inc."
TECD.L,TECO Electric & Machinery Co. Ltd.
TE20.L,TEST STOCKS ORD
TCSC.L,Town Centre Securities plc
TCS.L,TCS Group Holding PLC
TCM.L,Telit Communications PLC
TCG.L,Thomas Cook Group plc
TBGR.L,Tiso Blackstar Group SE
TBCB.L,JSC TBC Bank
TATE.L,Tate & Lyle plc
TALK.L,TalkTalk Telecom Group PLC
TAL.L,Zinc Media Group plc
SZCD.L,Suez Cement Company SAE
SYR.L,Synergy Health plc
SYNT.L,Synthomer plc
SXS.L,Spectris plc
SWJ.L,John Swan & Sons plc
SWEF.L,Starwood European Real Estate Finance Ltd.
SVT.L,Severn Trent Plc
SVM.L,SVM UK Emerging Fund plc
SVI.L,SVG Capital Plc
SVE.L,Starvest plc
SVCA.L,Servoca Plc
SUH.L,Sutton Harbour Holdings plc
STX.L,Shield Therapeutics plc
STJ.L,St. James's Place plc
STHR.L,SThree plc
STGR.L,StratMin Global Resources plc
STEL.L,Stellar Diamonds plc
STCM.L,Steppe Cement Ltd.
STB.L,Secure Trust Bank Plc
STAR.L,Starcom plc
STAN.L,Standard Chartered PLC
STAF.L,Staffline Group plc
SST.L,Scottish Oriental Smaller Cos Ord
SSPG.L,SSP Group plc
SSA.L,Sistema Public Joint Stock Financial Corporation
SRT.L,SRT Marine Systems plc
SRP.L,Serco Group plc
SRO.L,Spitfire Oil Limited
SRIA.L,SREI INFRASTRUCTURE FINANCE LIM
SRES.L,Sunrise Resources plc
SRB.L,Serabi Gold plc
SQS.L,SQS Software Quality Systems AG
SQNC.L,SQN Asset Finance Income Fund Limited
SQN.L,SQN Asset Finance Income Fund Limited
SPX.L,Spirax-Sarco Engineering plc
SPSY.L,Spectra Systems Corporation
SPSM.L,Stallion Resources plc
SPRT.L,Spirit Pub Company plc
SPRP.L,Sprue Aegis PLC
SPPC.L,St Peter Port Capital Limited
SPO.L,Sportech PLC
SPI.L,Spire Healthcare Group Plc
SPHR.L,Sphere Medical Holding PLC
SPDI.L,Secure Property Development & Investment Plc
SPD.L,Sports Direct International plc
SOU.L,Sound Energy plc
SOPH.L,Sophos Group plc
SOM.L,"Somero Enterprises, Inc."
SOLO.L,Solo Oil Plc
SOLG.L,SolGold plc
SNT.L,Sabien Technology Group Plc
SNR.L,Senior plc
SNN.L,Sanne Group plc
SNGR.L,S.N.G.N. RomGaz S.A.
SN.L,Smith & Nephew plc
SMWH.L,WH Smith PLC
SMT.L,Scottish Mortgage Investment Trust PLC
SMSD.L,"Samsung Electronics Co., Ltd."
SMP.L,St. Modwen Properties PLC
SML.L,Strategic Minerals plc
SMJ.L,J. Smart & Co. (Contractors) PLC
SMDS.L,DS Smith Plc
SMA.L,Sovereign Mines Of Africa PLC
SLP.L,Sylvania Platinum Limited
SLI.L,Standard Life Investments Property Income Trust Limited
SLET.L,Standard Life Equity Income Trust PLC
SLES.L,Standard Life Eq Inc 2016 Subs
SLED.L,The Lebanese Company for the Development and Reconstruction of Beirut Central District S.A.L.
SLE.L,San Leon Energy Plc
SLA.L,Standard Life Aberdeen plc
SKY.L,Sky plc
SKP.L,Skyepharma PLC
SKG.L,Smurfit Kappa Group plc
SJG.L,Schroder Japan Growth Ord
SIV.L,St Ives plc
SIS.L,Science in Sport plc
SIPP.L,Specialist Investment Properties plc
SILF.L,Silver Falcon plc
SIG.L,Signet Jewelers Limited
SIA.L,SOCO International plc
SHRE.L,Share Plc
SHP.L,Shire plc
SHOE.L,Shoe Zone Plc
SHI.L,SIG plc
SHFT.L,Shaft Sinkers Holdings Plc
SHB.L,Shaftesbury PLC
SHAW.L,Shawbrook Group plc
SGZ.L,Scotgold Resources Limited
SGRO.L,SEGRO plc
SGR.L,Shore Capital Group Limited
SGE.L,The Sage Group plc
SFI.L,Sagicor Financial Corp.
SEY.L,Sterling Energy plc
SERE.L,Schroder European Real Estate Investment Trust Plc
SEQI.L,Sequoia Economic Infrastructure Income Fund Limited
SEQC.L,SEQUOIA ECONOMIC INFRASTRUCTURE
SEPU.L,Sepura PLC
SEPL.L,Seplat Petroleum Development Company Plc
SEP.L,Standard Life Euro Private Eq Ord
SEN.L,United Oil & Gas Plc
SEE.L,Seeing Machines Limited
SEC.L,Strategic Equity Capital Ord
SDY.L,Speedy Hire Plc
SDVZ.L,Chelverton Small Companies ZDP plc
SDV.L,Small Companies Dividend Ord
SDRC.L,Schroders plc
SDR.L,Schroders plc
SDP.L,Schroder Asia Pacific Ord
SDL.L,SDL plc
SDI.L,Scientific Digital Imaging PLC
SCT.L,Softcat Plc
SCP.L,Schroder UK Mid Cap Ord
SCN.L,SACOVEN PLC SHS 0.1P
SCL.L,Schlumberger Limited
SCIN.L,The Scottish Investment Trust PLC
SCHO.L,Scholium Group Plc
SCH.L,SafeCharge International Group Limited
SCAM.L,The Scottish American Investment Company P.L.C.
SBS.L,Source BioScience Plc
SBRY.L,J Sainsbury plc
SBLM.L,Sable Mining Africa Limited
SBID.L,State Bank of India
SBER.L,Sberbank of Russia
SBD.L,Songbird Estates PLC
SAUD.L,Steel Authority of India Limited
SARS.L,Sarossa Plc
SAPO.L,South African Property Opportunities plc
SALV.L,SalvaRx Group plc
SAGA.L,Saga plc
SAC.L,SacOil Holdings Limited
SAB.L,SABMiller plc
RYA.L,Ryanair Holdings plc
RXB.L,Rex Bionics Plc
RUG.L,RUG.L
RTO.L,Rentokil Initial plc
RTN.L,The Restaurant Group plc
RTC.L,RTC Group plc
RSW.L,Renishaw plc
RSTI.L,"Rosseti, Public Joint Stock Company"
RSE.L,Riverstone Energy Limited
RSB.L,Rensburg AIM VCT Ord
RSAB.L,RSA Insurance Group plc
RSA.L,RSA Insurance Group plc
RRS.L,Randgold Resources Limited
RRR.L,Red Rock Resources plc
RRL.L,Range Resources Limited
RRE.L,RockRose Energy plc
RR.L,Rolls-Royce Holdings plc
RQIH.L,Randall & Quilter Investment Holdings Ltd
RPS.L,RPS Group plc
RPCN.L,RPC GROUP PLC ORD 5P (NP-24/02/
RPC.L,RPC Group Plc
ROSN.L,Public Joint Stock Company Rosneft Oil Company
ROR.L,Rotork plc
ROL.L,Rotala PLC
RNWH.L,Renew Holdings plc
RNK.L,The Rank Group Plc
RMP.L,Red Emperor Resources NL
RMMC.L,River and Mercantile UK Micro Cap Investment Company Limited
RMM.L,Rambler Metals and Mining PLC
RMG.L,Royal Mail plc
RLE.L,Real Estate Investors plc
RLD.L,Richland Resources Limited
RKMD.L,Public Joint Stock Company Long-Distance and International Telecommunications Rostelecom
RKH.L,Rockhopper Exploration plc
RIV.L,River and Mercantile Group PLC
RIO.L,Rio Tinto plc
RICO.L,"Ricoh Company, Ltd."
RHM.L,Resource Holding Management Limited
RGU.L,Regus plc
RGP.L,Ross Group plc
RGM.L,Regency Mines Plc
RGL.L,Regional REIT Limited
RGI.L,RGI.L
REX.L,Rexam PLC
REM.L,Cadence Minerals Plc
REL.L,RELX PLC
REDT.L,red24 PLC
REAT.L,REACT Group plc
REAC.L,REACT Energy plc
REA.L,REI AGRO LTD GDR(EACH REPR 20 S
RE.L,R.E.A. Holdings plc
RE-B.L,R.E.A. HOLDINGS PLC 9% CUM PRF
RDT.L,Rosslyn Data Technologies plc
RDSB.L,Royal Dutch Shell plc
RDSA.L,Royal Dutch Shell plc
RDL.L,Ranger Direct Lending Fund Plc
RDI.L,Redefine International P.L.C.
RCP.L,RIT Capital Partners plc
RCI.L,RapidCloud International plc
RBS.L,The Royal Bank of Scotland Group plc
RB.L,Reckitt Benckiser Group plc
RAT.L,Rathbone Brothers plc
RAME.L,Rame Energy Plc
QXT.L,Quixant Plc
QTX.L,Quartix Holdings plc
QRT.L,The Quarto Group Inc.
QRM.L,Quorum plc
QQ.L,QinetiQ Group plc
QPP.L,Watchstone Group Plc
QP.L,Quantum Pharma Plc
QIL.L,Qannas Investments Limited
QIF.L,Qatar Investment Fund plc
QFI.L,Quadrise Fuels International PLC
QED.L,Quintain Estates and Development plc
PZC.L,PZ Cussons Plc
PXOG.L,Prospex Oil and Gas plc
PVCS.L,PV Crystalox Solar plc
PURP.L,Purplebricks Group PLC
PURE.L,PureCircle Limited
PUR.L,Pure Wafer plc
PUM9.L,Puma VCT 9 plc
PUB.L,Punch Taverns plc
PU11.L,Puma VCT 11 Plc
PTV.L,PeerTV Plc
PTEC.L,Playtech plc
PTCM.L,Porta Communications Plc
PSPI.L,Public Service Properties Investments Limited
PSON.L,Pearson plc
PSN.L,Persimmon plc
PRZ.L,PRZ.L
PRW.L,Promethean World Plc
PRV.L,Porvair plc
PRU.L,Prudential plc
PRTC.L,PureTech Health plc
PRSM.L,Blue Prism Group plc
PROJ.L,GCP Asset Backed Income Fund Limited
PRO.L,Progressive Digital Media Group PLC
PRG.L,Paragon Diamonds Limited
PREM.L,Premier African Minerals Limited
PPIX.L,ProPhotonix Limited
PPEA.L,PROVEN PLANNED EXIT VCT PLC ORD
PPB.L,Paddy Power Betfair plc
POWR.L,Powerflute Oyj
POS.L,Plexus Holdings plc
POLY.L,Polymetal International Plc
POLR.L,Polar Capital Holdings plc
PNN.L,Pennon Group Plc
PNL.L,Personal Assets Trust plc
PMO.L,Premier Oil plc
PML.L,Papua Mining plc
PMH.L,Puma High Income VCT Ord
PMG.L,The Parkmead Group Plc
PMEA.L,PME African Infrastructure Opportunities PLC
PLP.L,Polypipe Group plc
PLND.L,Poundland Group plc
PLI.L,Perpetual Income and Growth Investment Trust plc
PLAZ.L,Plaza Centers N.V.
PLA.L,Plastics Capital plc
PIN.L,Pantheon International Ord PLC
PHU.L,M&L Property & Assets Plc
PHST.L,OJSC Pharmstandard
PHP.L,Primary Health Properties plc
PHNX.L,Phoenix Group Holdings
PHI.L,Pacific Horizon Ord
PHE.L,PowerHouse Energy Group plc
PGR.L,Phoenix Global Resources plc
PGOO.L,ProVen Growth & Income VCT PLC
PGIL.L,Polyus Gold International Limited
PGH.L,Personal Group Holdings Plc
PFP.L,Pathfinder Minerals Plc
PFLM.L,"PowerFilm, Inc."
PFL.L,Premier Farnell plc
PFG.L,Provident Financial plc
PFC.L,Petrofac Limited
PEZ.L,Pewt Securities 2020 Plc
PEY.L,Princess Private Equity Holding Limited
PEWZ.L,Premier Energy and Water ZDP 2015
PEW.L,Premier Energy and Water Ord/Inc
PETS.L,Pets at Home Group Plc
PEQ.L,Private Equity Investor Ord
PEMB.L,Pembroke VCT PLC
PEL.L,Paragon Entertainment Limited
PEBI.L,Port Erin Biopharma Investments Limited
PDL.L,Petra Diamonds Limited
PDG.L,Pendragon PLC
PCT.L,Polar Capital Technology Trust plc
PCGE.L,PCG Entertainment Plc
PCGB.L,Power Capital Global Limited
PAY.L,PayPoint plc
PAX.L,Pacific Alliance Asia Opportunity Fund Limited
PAL.L,Equatorial Palm Oil plc
PAG.L,The Paragon Group of Companies PLC
PAF.L,Pan African Resources PLC
PACL.L,Pacific Alliance China Land Ltd
PACC.L,Prime Active Capital plc.
PAC.L,Pacific Assets Trust plc
PA.L,PARTNERSHIP ASSURANCE GROUP PLC
OXT.L,Oxford Technology VCT Ord
OXIG.L,Oxford Instruments plc
OXH.L,Oxford Technology VCT 2 Ord
OXB.L,Oxford BioMedica PLC
OVG.L,Ovoca Gold plc
OTMT.L,Orascom Telecom Media and Technology Holding S.A.E.
OTC.L,Ortac Resources Limited
OTB.L,On the Beach Group plc
OSG.L,OpSec Security Group plc
OSEC.L,Octopus AIM VCT 2 plc
OSB.L,OneSavings Bank Plc
ORCP.L,Oracle Power PLC
ORCH.L,Orchard Funding Group PLC
OPPP.L,Origo Partners PLC
OPM.L,1pm PLC
OPHR.L,Ophir Energy Plc
OOA.L,Octopus AIM VCT Ord
ONZ.L,Onzima Ventures PLC
ONEV.L,OneView Group plc
OML.L,Old Mutual plc
OMG.L,Oxford Metrics plc
OGZD.L,Public Joint Stock Company Gazprom
OGDC.L,Oil and Gas Development Company Limited
OEX.L,Oilex Ltd
OEC1.L,Octopus Eclipse VCT plc
ODX.L,Omega Diagnostics Group PLC
OCV4.L,Octopus VCT 4 Ord
OCT.L,Octagonal Plc
OCN.L,Ocean Wilsons Holdings Limited
OCL.L,Oakley Capital Investments Limited
OCDO.L,Ocado Group plc
OBT.L,Obtala Resources Limited
OAP3.L,Octopus Apollo VCT plc
NYO.L,Nyota Minerals Limited
NXT.L,Next Plc
NXR.L,Norcros plc
NWT.L,Newmark Security plc
NWR.L,New World Resources Plc
NWIG.L,Northwest Investment Group Ltd
NVT.L,Northern Venture Trust Ord
NUOG.L,Nu-Oil and Gas plc
NUM.L,Numis Corporation Plc
NTV.L,Northern 2 VCT Ord
NTQ.L,Enteq Upstream Plc
NTN.L,Northern 3 VCT PLC
NTG.L,Northgate plc
NTEA.L,Northern Electric plc
NTBR.L,Northern Bear PLC
NTBC.L,Noida Toll Bridge Company Limited
NSI.L,New Star Investment Trust Ord
NSCI.L,NetScientific plc
NSA.L,Nimrod Sea Assets Limited
NRR.L,NewRiver REIT plc
NRI.L,Northern Investors Ord
NPT.L,NetPlay TV plc
NOVA.L,Nova Resources Limited
NOG.L,Nostrum Oil and Gas PLC
NMD.L,North Midland Construction PLC
NLMK.L,Novolipetsk Steel
NLG.L,Arria NLG plc
NIPT.L,Premaitha Health PLC
NICL.L,Nichols plc
NHY.L,Norsk Hydro ASA
NHL.L,Nomad Foods Limited
NGR.L,Nature Group PLC
NG.L,National Grid plc
NFC.L,Next Fifteen Communications Group plc
NEX.L,National Express Group PLC
NEW.L,New World Oil and Gas Plc
NETD.L,NetDimensions (Holdings) Limited
NEPI.L,New Europe Property Investments Plc
NCYF.L,CQS New City High Yield Fund Limited
NCCL.L,Ncondezi Energy Limited
NCC.L,NCC Group plc
NCA2.L,New Century AIM VCT 2 PLC
NCA.L,New Century AIM VCT Ord
NBS.L,Nationwide Building Society
NBDX.L,NB Distressed Debt Investment Fund Limited
NBDG.L,NB Distressed Debt Investment Fund Limited
NBDD.L,NB DISTRESSED DEBT INVESTMENT F
NBB.L,Norman Broadbent Plc
NASA.L,Nasstar plc
NAS.L,North Atlantic Smaller Cos Ord
NANO.L,Nanoco Group plc
NAIT.L,The North American Income Trust plc
MYT.L,Mytrah Energy Limited
MYSL.L,MySale Group plc
MYI.L,Murray International Ord
MXCP.L,MXC Capital Limited
MWG.L,Modern Water plc
MWE.L,M.T.I Wireless Edge Ltd.
MVI.L,Marwyn Value Investors Limited
MUBL.L,MBL Group plc
MTW.L,Mattioli Woods PLC
MTV.L,Motive Television plc
MTRO.L,Metro Bank PLC
MTPH.L,Midatech Pharma Plc
MTL.L,Metals Exploration Plc
MTFB.L,Motif Bio Plc
MSYS.L,Microsaic Systems PLC
MSMN.L,Mosman Oil And Gas Limited
MRW.L,Wm Morrison Supermarkets PLC
MRO.L,Melrose Industries PLC
MRC.L,The Mercantile Investment Trust plc
MPI.L,PageGroup plc
MOSB.L,Moss Bros Group plc
MONY.L,Moneysupermarket.com Group PLC
MOIL.L,Madagascar Oil Limited
MOGP.L,Mountfield Group Plc
MNP.L,Martin Currie Global Portfolio Trust plc
MNOD.L,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel
MNL.L,Manchester & London Investment Trust plc
MNDI.L,Mondi plc
MNC.L,Metminco Limited
MMK.L,Public Joint Stock Company Magnitogorsk Iron & Steel Works
MMH.L,Marshall Motor Holdings Plc
MLD.L,MirLand Development Corporation Plc
MLC.L,Millennium & Copthorne Hotels plc
MKT.L,Market Tech Holdings Limited
MKS.L,Marks and Spencer Group plc
MJW.L,Majestic Wine plc
MIX.L,Mobeus Income & Growth VCT Ord
MIRL.L,Minera IRL Limited
MIL.L,Myanmar Investments International Limited
MIG6.L,Maven Income and Growth VCT 6 Ord
MIG3.L,Maven Income and Growth VCT 3 PLC
MIG2.L,Maven Income and Growth VCT 2 PLC
MHN.L,Menhaden Capital PLC
MHM.L,"Marsh & McLennan Companies, Inc."
MGHC.L,M&G High Income Investment Trust plc
MGGT.L,Meggitt PLC
MGAM.L,Morgan Advanced Materials plc
MERL.L,Merlin Entertainments plc
MERC.L,Mercia Technologies PLC
MEL.L,Mitsubishi Electric Corporation
MDOB.L,Mandarin Oriental International Limited
MDO.L,Mandarin Oriental International Limited
MCT.L,Middlefield Canadian Income PCC - Middlefield Canadian Income - GBP PC
MCS.L,McCarthy & Stone plc
MCRO.L,Micro Focus International plc
MCP.L,Martin Currie Asia Unconstrained Ord
MCON.L,Mincon Group Plc
MCLS.L,McColl's Retail Group plc
MCKS.L,McKay Securities plc
MCGN.L,Microgen plc
MBO.L,MobilityOne Limited
MBH.L,Michelmersh Brick Holdings plc
MASA.L,Masawara PLC
MARS.L,Marston's PLC
MAIL.L,Mail.Ru Group Limited
MAB1.L,Mortgage Advice Bureau (Holdings) PLC
MAB.L,Mitchells & Butlers plc
LXB.L,LXB Retail Properties Plc
LWDB.L,Law Debenture Corporation Ord
LWB.L,Low & Bonar plc
LVRT.L,Levrett plc
LVD.L,Lavendon Group plc
LTI.L,Lindsell Train Investment Trust Plc
LTHM.L,James Latham plc
LSR.L,The Local Shopping REIT plc
LSL.L,LSL Property Services Plc
LSE.L,London Stock Exchange Group plc
